swk_id,lat,long,damage
24643,42.27166415466266,-71.07757008137315,0.0
24644,42.27063973542263,-71.07347188233113,93.0
24645,42.285161508499314,-71.09226470440221,72.0
24646,42.29240161982147,-71.07913568429879,95.0
24647,42.29274331256691,-71.08029802948155,95.0
24648,42.29397454250033,-71.08446026129282,26.0
24649,42.29727107234167,-71.06675155829706,100.0
24650,42.297204148890465,-71.06694325943926,54.0
24651,42.29323872155638,-71.07881639604037,22.0
24652,42.29367802916105,-71.08305533501115,22.0
24653,42.29559952525886,-71.07579610485853,33.0
24654,42.295555738705254,-71.07590564201826,37.0
24655,42.29544182656028,-71.07655949937015,36.0
24656,42.29543390372055,-71.07668021311692,25.0
24657,42.29325097282004,-71.07893945125336,18.0
24658,42.285827945347826,-71.07106751328575,33.0
24659,42.28694563810207,-71.09223417417289,90.0
24660,42.286367694364,-71.06424038629929,38.0
24661,42.286472525643994,-71.0887048474182,61.0
24662,42.28421315770344,-71.07166551593257,100.0
24663,42.28407842226453,-71.07943754480426,70.0
24664,42.28820419971663,-71.07926541800026,0.0
24665,42.288711024163675,-71.07947640517841,98.0
24666,42.28867050271405,-71.07961777831478,95.0
24667,42.277871152133564,-71.09458447080151,79.0
24668,42.29002868627435,-71.07336156039263,74.0
24669,42.290085342801824,-71.07326305947792,69.0
24670,42.28811388114235,-71.07030668115928,52.0
24671,42.28779754031297,-71.07109467812103,55.0
24672,42.287534817706124,-71.071101611922,87.0
24673,42.28730026780521,-71.07072390152247,54.0
24674,42.2872084360378,-71.07076571748699,92.0
24675,42.28417158036016,-71.07148476597634,100.0
24676,42.28809183753012,-71.07932819270223,0.0
24677,42.28327591305955,-71.08819213967891,52.0
24678,42.28326908965113,-71.08844143276964,67.0
24679,42.28582656659327,-71.09027509853276,74.0
24680,42.27127641344043,-71.06806194329054,84.0
24681,42.27977849326612,-71.09336837421938,0.0
24682,42.29212501725943,-71.0716594993184,1.0
24683,42.29262414597507,-71.07169777487891,7.0
24684,42.2930912202173,-71.071742853973,35.0
24685,42.29528126819678,-71.07198127869367,0.0
24686,42.29057816650875,-71.07154997461751,88.0
24687,42.293685327855165,-71.07179671750579,39.0
24688,42.28684279897332,-71.09217561908198,91.0
24690,42.26236600828414,-71.12397080791143,23.0
